"","logFC","logCPM","LR","PValue","FDR"
"155060",1.36409836005631,3.17828426551066,75.3345885834574,3.97337688108439e-18,1.21459462764211e-17
"A1BG",1.27981053261055,1.71500358697179,50.0958093096604,1.46419359717424e-12,3.42035440644386e-12
"A2LD1",-2.20522091967286,3.74188157036719,288.744548974446,9.3349015410048e-65,1.94518458824378e-63
"AACSL",2.18642136453741,0.582116370213081,86.4157431027626,1.4581946818108e-20,4.93092205272337e-20
"AATK",1.32480649346378,2.79330984162297,126.344665095723,2.58460567906146e-29,1.26380177263987e-28
"ABAT",-3.15199972901673,5.68900051974826,713.631400030024,3.24718521336568e-157,8.06330208232255e-155
"ABCA12",3.10222547092904,3.0413728600567,132.503904253944,1.16078170837e-30,6.00503009479327e-30
"ABCA17P",2.82931454561097,1.05933694709,111.774918123609,4.00267805414499e-26,1.72557581969636e-25
"ABCA1",1.70862862696176,6.90807218464287,248.268610625053,6.19303200375033e-56,9.02837415106421e-55
"ABCA4",-5.02429476800232,2.70070698619198,585.500648612557,2.38554350672141e-129,3.3530389345889e-127
"ABCA8",-2.06706378297663,3.11653786317747,140.773583786667,1.80323389627038e-32,1.00172937436735e-31
"ABCB1",-1.55911108777207,5.76896481733978,120.02164882548,6.2574061851609e-28,2.88367135022308e-27
"ABCB4",2.35340435783147,2.5220513562824,123.137383472518,1.30119984660255e-28,6.17013892887696e-28
"ABCB5",6.05162903599655,1.1362682833781,51.1983752844641,8.34876991285855e-13,1.97850044427675e-12
"ABCB6",1.3087650127257,5.64712886224898,168.758310425242,1.38155940738326e-38,9.71853333833956e-38
"ABCC3",2.23342169972123,7.36734528452321,200.204037571927,1.88497868458125e-45,1.7674195985888e-44
"ABCD2",1.09816009276732,0.721532659079937,48.5353604653507,3.2438682128203e-12,7.44919736479804e-12
"ABCG1",1.32607595179753,6.13195978804078,206.930297682295,6.42112068847014e-47,6.40349913905733e-46
"ABCG2",1.14827016418829,4.38062836572695,54.8785646871595,1.28211735487277e-13,3.16682136443126e-13
"ABHD14A",-1.19988073962482,3.80835668171168,274.063789165664,1.47654988622808e-61,2.7328095347717e-60
"ABLIM1",-1.01169995900927,7.74396800689236,231.642046593644,2.61363551685707e-52,3.28889827412614e-51
"ABLIM3",2.02896505938374,6.93204281456723,168.808092425505,1.34739903193111e-38,9.48271052278771e-38
"ABTB2",-1.78743911231598,4.24506139263149,185.241385853347,3.47617437011431e-42,2.84412531248397e-41
"ACAA1",-1.76717483802855,6.19203892875044,791.037060580921,4.79489559999648e-174,1.58753665654106e-171
"ACAD11",1.57634285490087,7.86762816801514,109.482647097423,1.27213330929909e-25,5.34202767058826e-25
"ACAD8",-1.03804456688274,4.91557838197004,345.351785167243,4.35886416843118e-77,1.43045632699243e-75
"ACADM",-1.42451064152166,6.66816689119232,342.81481934263,1.55546538140621e-76,5.00537337312552e-75
"ACADSB",-1.91258582438437,6.20823959607535,562.071038178015,2.9792025904159e-124,3.66835862765343e-122
"ACAN",2.62647809567152,5.49098455166989,132.61324033521,1.09858085729709e-30,5.69115305732592e-30
"ACAP1",2.76738127930341,3.29988428250572,239.793698363582,4.36202920390629e-54,5.8391620044025e-53
"ACAT1",-1.28540676222311,7.61385141290347,142.008720165295,9.68221255744294e-33,5.4292542300844e-32
"ACCS",1.16872753852728,4.0205807761293,102.66575461509,3.96743757163191e-24,1.55391304888917e-23
"ACE",1.01269564125555,6.03309431751682,45.1715971505573,1.80504068781286e-11,4.00564112451202e-11
"ACHE",1.03944974858696,2.79327545255376,28.3675074847827,1.00335283449874e-07,1.82526909416322e-07
"ACLY",1.4368978148677,8.80617152629671,237.432090361935,1.42769933614655e-53,1.88241525745552e-52
"ACO1",-1.06339867540124,6.8698697922926,178.769430953261,8.99722229393002e-41,6.90265782478185e-40
"ACOT11",-2.21902676655248,3.9328804843861,328.679594906669,1.86369598968059e-73,5.36046458499057e-72
"ACOT2",-1.00363119793514,4.2333296671986,128.297603728197,9.66136790065871e-30,4.80937922993365e-29
"ACOX2",-1.90885243658154,3.94585916724054,290.392272484149,4.08398264337135e-65,8.61859170022519e-64
"ACPP",-5.67233639405709,2.84674730509748,1620.55611958121,0,0
"ACRBP",1.60495262759068,1.67899204775955,170.862814968145,4.7942625918128e-39,3.43908128817616e-38
"ACRC",2.07808632510876,0.188945209101231,152.239375392592,5.61705816571772e-35,3.44397323502174e-34
"ACSF2",-3.5907844395003,4.95769908437408,1062.37810127283,4.96499860193505e-233,5.28382244073073e-230
"ACSL4",-1.45454481143042,6.83633914538228,533.621843452738,4.6025886380211e-118,4.6968471313614e-116
"ACSL6",-2.18019450185532,0.811972742929747,140.13487553223,2.48725137599552e-32,1.37606974567238e-31
"ACSM3",-1.35886999744227,5.18974091139298,179.247242129804,7.07586863801679e-41,5.45387309041967e-40
"ACTG2",1.04930432060047,5.03551274979262,21.3960606880029,3.73537878249313e-06,6.17410788555194e-06
"ACTN2",2.07539900359169,1.18017301267372,43.1492728706736,5.07187420823005e-11,1.09961952602473e-10
"ACY1",-3.2346892807096,6.97607568645076,1183.5088657938,2.34047103990197e-259,3.87451978038883e-256
"ADAM12",2.20650851490554,4.15883744182475,69.7811693858895,6.62624535966978e-17,1.90808715913645e-16
"ADAM19",1.75093149611893,4.18385766080974,151.547567887052,7.95626811797007e-35,4.84036091015255e-34
"ADAM28",1.38105286799486,3.69447619416875,108.95850976194,1.65718656947422e-25,6.91027783336033e-25
"ADAM6",1.52046473512561,9.66675643166271,27.5623329389995,1.52112348164931e-07,2.736442737635e-07
"ADAM8",2.03438220436485,3.8198136518011,132.1903809327,1.35937160878577e-30,7.01776770592488e-30
"ADAMDEC1",5.25317665124515,2.62399017445797,185.01968272808,3.88598467533088e-42,3.16898115368116e-41
"ADAMTS10",2.000144024703,4.20744933303878,165.651342046779,6.59215477301626e-38,4.5198579826585e-37
"ADAMTS12",1.51676231070475,1.65954562605476,50.8268126483883,1.00886084304222e-12,2.37832558551995e-12
"ADAMTS14",3.65297357344304,1.66633166391308,177.405713138954,1.78599676833696e-40,1.35073938332245e-39
"ADAMTS15",-2.37555011526324,1.96330240605722,258.968213728137,2.88019967081603e-58,4.74166794425282e-57
"ADAMTS16",-2.65731180644014,2.31131181303539,203.809945021438,3.07931971533071e-46,2.98301589328428e-45
"ADAMTS18",2.01744547891716,1.20006884430193,91.7384648092677,9.89232370148751e-22,3.50084871326514e-21
"ADAMTS2",1.67696821805466,3.44181469986118,99.2514171320264,2.22397403726026e-23,8.45064758509071e-23
"ADAMTS4",1.9222110272319,6.27823274557459,98.1069971190713,3.96375766281872e-23,1.49206734255523e-22
"ADAMTS5",1.03148606609053,5.38290175960387,71.922178996292,2.23853704262223e-17,6.57699928969208e-17
"ADAMTS7",2.51142549591956,4.14985067862119,311.837925893344,8.68657677835171e-70,2.19358148170614e-68
"ADAMTS8",-1.47417496457239,0.666687759755403,92.7968560849819,5.79471335219351e-22,2.07387543200411e-21
"ADAMTSL2",-1.56381386055208,5.00411595666312,184.093930997151,6.18875445285173e-42,5.00848737604769e-41
"ADAMTSL4",1.97755978862374,5.09738681829479,144.742851507589,2.44444534433819e-33,1.40725622817986e-32
"ADAP1",-1.49542339593233,4.30673595556452,275.568137302501,6.94069408739775e-62,1.30897976212834e-60
"ADAP2",1.94326536827399,4.59786161466488,374.572788370152,1.89048231187641e-83,7.51101225723912e-82
"ADAT2",1.11389162454799,2.4615640524949,97.7547874915034,4.73537334953757e-23,1.77356278367924e-22
"ADA",2.38466146488818,3.41763110236094,223.254618060817,1.76397133429902e-50,2.06290493796869e-49
"ADCY2",3.32626952378779,2.39299733976804,87.4497695118952,8.64475913292383e-21,2.95070484126992e-20
"ADCY7",1.87868504453537,4.90886567190777,230.383911783709,4.91607075261986e-52,6.13952541016624e-51
"ADCY8",3.88270975275738,2.35012337506008,47.8797880357544,4.53169341145833e-12,1.03491263239297e-11
"ADCYAP1",1.38066695171442,1.46182936445812,19.0973773675032,1.24215463208421e-05,1.99277074011227e-05
"ADD2",3.10166498246573,1.08989373756357,113.129041290373,2.02179092386242e-26,8.82069193986125e-26
"ADH1B",-2.59049145850796,5.45808056102041,149.936443162662,1.78999477370607e-34,1.0736365593175e-33
"ADH1C",-3.28525091032326,2.50621374900395,115.630700467043,5.72582368397704e-27,2.557225631522e-26
"ADH4",2.85998275283022,1.09228308079715,8.8709163788418,0.0028974965692065,0.00391527311668852
"ADH6",-2.50900443452317,3.53083675791513,196.627212836281,1.1373134334014e-44,1.0351150179748e-43
"ADHFE1",-1.14283684119546,3.2238587110358,108.57442327018,2.01153709615805e-25,8.36680379554964e-25
"ADM",2.68133615672428,7.52540186619504,346.34080004159,2.65456918941502e-77,8.75009432590585e-76
"ADORA1",-1.30287884722884,3.05963578446903,58.1108775750746,2.47752586623429e-14,6.34456134084302e-14
"ADORA2B",1.7604729442877,1.29020052079458,114.376933351973,1.07750155932513e-26,4.75524162689132e-26
"ADORA3",3.23177379078556,4.18583130250997,366.658802903482,9.99275148512226e-82,3.79801031573563e-80
"ADRA1B",1.30244946604673,3.94612377637183,92.7908553931442,5.81230968613118e-22,2.07967343932921e-21
"ADRA2C",-1.76035930417929,3.51143408727377,180.260866765839,4.25072238710478e-41,3.31405090766479e-40
"ADRB1",-1.07368924764567,0.105364669014742,16.0374799892865,6.2100896036161e-05,9.46054447896485e-05
"ADSSL1",2.3167174516483,5.92358578167832,129.883585275789,4.34529294015951e-30,2.19459388187921e-29
"AEN",1.43301423645548,5.18612966332845,326.949164004158,4.43887314357932e-73,1.25492924034513e-71
"AFAP1L1",1.55373055933431,5.47511331498132,193.90318744396,4.47088852469553e-44,3.96262749134079e-43
"AFAP1L2",-1.81427629428559,5.22361433675619,426.547740697058,9.16809173326262e-95,5.0968432363388e-93
"AFF2",1.42357993237055,2.238103321553,71.9982893138991,2.15384005577353e-17,6.33690027467808e-17
"AFF3",1.65048160744203,4.47050883113122,109.47019657377,1.28014889293056e-25,5.37417254318748e-25
"AFG3L1",1.19157536374975,3.37809210827749,91.2381116082854,1.27383031276506e-21,4.49521502365861e-21
"AFMID",-1.12042034080497,5.02547108603053,201.323223091437,1.07418638597635e-45,1.01938235443705e-44
"AFM",-4.60220143906182,2.27378726571265,248.333703438483,5.99393630124986e-56,8.75526048552173e-55
"AGAP11",2.27485191551952,2.5642243442449,131.392068804993,2.03228952726498e-30,1.04230917957731e-29
"AGAP2",2.88595738356171,3.35158755548087,481.85402102861,8.43945574370132e-107,6.51499746763762e-105
"AGAP4",1.6418641177875,3.32625823126759,122.660608577326,1.65464022153265e-28,7.81378277674009e-28
"AGAP5",1.38857881534687,1.08848850094735,103.315367637433,2.85827596331174e-24,1.12868946666795e-23
"AGAP6",2.00839401936853,2.30067446287841,139.500745095521,3.42287152151457e-32,1.88599714493512e-31
"AGAP8",1.93726552214824,0.695207612843601,103.855579179439,2.17614152819805e-24,8.64134664941969e-24
"AGBL2",2.19574415927445,0.884683926175644,149.990534723509,1.74192164824558e-34,1.04564426419061e-33
"AGBL3",2.00910409028698,0.920215042680901,141.572154551003,1.20623826938067e-32,6.7436187525338e-32
"AGER",2.70808421891946,1.93104725773241,222.367300462818,2.75440159710668e-50,3.20357762648653e-49
"AGFG2",-1.22673102915601,4.69083033928603,261.022544424181,1.02713499656723e-58,1.71177676888761e-57
"AGMAT",-2.46966289805441,5.53517942291241,263.944247763478,2.37022018613949e-59,4.08253301194129e-58
"AGPAT9",-2.49287036954719,5.07419507122474,266.863924095375,5.47542546348996e-60,9.64283262181287e-59
"AGPHD1",-1.86586017777744,0.852010008667528,450.925326123294,4.53669380407768e-100,2.91345693909282e-98
"AGR2",-1.96896673565551,1.72756213015731,12.7904714612715,0.000348389307540671,0.000503653434217781
"AGT",1.0380478545613,6.73922003811934,31.3811553628651,2.12028870174931e-08,4.02217740862783e-08
"AGXT2L2",1.44936859028661,5.68390570382983,270.011560683285,1.12820924038583e-60,2.02764649849318e-59
"AGXT2",-1.12289597515184,6.07328247853519,30.7556495561391,2.92650562458807e-08,5.51017405544517e-08
"AGXT",-2.66368676340723,2.78663267353034,104.90689552271,1.28011687251342e-24,5.13528844468966e-24
"AHNAK2",4.11085529403556,7.28204102715777,321.709968778214,6.14378588629375e-72,1.66429574399801e-70
"AHRR",1.62007922021663,1.882387221564,74.1990347382019,7.06248245977037e-18,2.13219708547353e-17
"AHSA2",2.34368990416243,4.86778182813093,167.636791125589,2.42848583335626e-38,1.69470774853278e-37
"AICDA",6.5712475644707,0.148061293938673,217.450683404344,3.2543853542719e-49,3.60230961317214e-48
"AIF1L",-3.58232463734394,8.31503071881318,818.550400089956,4.99950992587602e-180,1.96020258909544e-177
"AIF1",1.17380549900109,5.30163471833731,94.9591155959396,1.94358200119895e-22,7.0921940327855e-22
"AIM2",3.98394259279804,1.16675240055661,180.22666054871,4.32445410722681e-41,3.36977205771821e-40
"AJAP1",-1.0845008721575,2.75612277259826,48.6338671278193,3.08495602219497e-12,7.09082995598315e-12
"AK3",-1.2543397986507,6.49970618035912,541.141829128624,1.06421768655105e-119,1.12452335545561e-117
"AK7",-1.51764275394392,2.08086856587016,169.608214600165,9.01025103660735e-39,6.3956041064513e-38
"AKAP3",-2.16372616723816,0.75032696425389,468.977346825543,5.34941186261745e-104,3.90690624221262e-102
"AKAP5",-1.1404723595377,2.41212162176989,103.60388057881,2.47092746496069e-24,9.78324429988023e-24
"AKNA",1.35197090319679,5.60585270197878,160.369333495778,9.39623739719603e-37,6.15090250355112e-36
"AKR1B10",3.00088694689859,4.09115733581354,24.090416755791,9.19165960014157e-07,1.57518445344501e-06
"AKR1B1",-1.12161605187334,8.30572163496658,62.6895993300234,2.41990204413596e-15,6.49272835504802e-15
"AKR7A3",-1.72749678845952,4.94589298699317,121.915677578604,2.40860325131879e-28,1.1288386235105e-27
"ALAD",-1.23609587988835,6.11050992098868,448.859951051418,1.27709283591865e-99,8.02844141871392e-98
"ALB",-2.94059496139052,5.63132117049208,98.1307565481237,3.91648293916316e-23,1.47464441017417e-22
"ALDH1A2",-1.66877034238509,4.53579283939677,61.5839521048459,4.24262449875752e-15,1.12474844140549e-14
"ALDH1A3",-1.4493995593385,5.01884594592048,82.2323999799952,1.20990196784653e-19,3.93673933586927e-19
"ALDH1B1",-1.1687987097557,5.85646034173906,92.1270725519299,8.12857244733363e-22,2.88763950626666e-21
"ALDH1L1",-1.34892921971429,6.81034165279055,64.2791279889675,1.07983642309149e-15,2.93799906275385e-15
"ALDH1L2",1.70580134392308,2.85043111210472,92.072625985381,8.35531688912525e-22,2.96606781822914e-21
"ALDH2",-1.00223666802396,7.97032695857097,148.310655283449,4.05717558770284e-34,2.40062982848231e-33
"ALDH3A1",1.118475682112,0.699987273032776,39.2496716477456,3.72931083273286e-10,7.76779003171912e-10
"ALDH4A1",-2.52978237398028,7.2719898744576,378.987359617528,2.06742484508511e-84,8.41600075598989e-83
"ALDH6A1",-3.35507325751282,6.04076413281237,796.552748666869,3.03080244508902e-175,1.02627103703139e-172
"ALDOB",-4.38870262769563,9.15521720059348,336.302925131901,4.07418275150029e-75,1.24899688918936e-73
"ALDOC",2.30281812335489,6.46945426349162,180.31351901477,4.13967950637083e-41,3.23085830096485e-40
"ALOX15B",5.0933337995965,1.8868664439688,212.436919203098,4.03843739753789e-48,4.22829787673345e-47
"ALOX5AP",1.36270540131819,4.08622046868762,94.5858910362487,2.34685112653432e-22,8.53447276891256e-22
"ALOX5",1.98250649258678,5.31501312654117,125.49277578383,3.97032758512229e-29,1.92245403609805e-28
"ALPI",2.3573661160786,4.04302098803334,26.1806223872777,3.10927003813502e-07,5.49134830466734e-07
"ALPK2",2.0453856844822,6.97229309493043,124.042694119717,8.24503335454475e-29,3.94485394827753e-28
"ALS2CL",-2.23589338544572,3.87025374538741,269.370250228329,1.55654274941584e-60,2.79072568273725e-59
"AMFR",-1.57100546768783,7.45255630717332,597.888074899773,4.82126368997477e-132,7.3297967058096e-130
"AMICA1",1.91533976004092,4.13617898826042,184.590518471244,4.8216077186612e-42,3.91910165850154e-41
"AMPH",-3.31732716490078,1.01009002662035,383.773369305777,1.87693824720235e-85,7.92195550851781e-84
"AMT",-1.31061094585993,4.11893768078612,182.160094958576,1.63605966901657e-41,1.30003482712949e-40
"AMY2B",2.2952337572559,4.13576949612034,112.379117713773,2.95120767646536e-26,1.27931461075524e-25
"AMZ1",4.73385586745933,0.95602619982558,184.125582087314,6.09106689484602e-42,4.93210900360385e-41
"ANGPT2",3.33501781085678,7.06244815718272,328.55746117679,1.9814188661483e-73,5.68808471806234e-72
"ANGPTL1",-2.6125108831302,2.7581098838731,211.072588155059,8.01420126143816e-48,8.26894630153512e-47
"ANGPTL2",1.4928837426567,6.67738531194902,103.796568471513,2.2419312827101e-24,8.89548180588488e-24
"ANGPTL3",-1.71132256733473,3.66107755913501,42.6990160735755,6.3844395023454e-11,1.3767804913221e-10
"ANGPTL4",4.7340784625242,10.041472700941,444.880409441646,9.38197297920676e-99,5.7287711236558e-97
"ANG",1.7298933553179,4.99461258367035,147.857180179355,5.09742619665686e-34,3.00778427342537e-33
"ANK1",2.51387943280492,3.56436402545858,96.6899402286629,8.10801712122483e-23,3.00202154794057e-22
"ANK2",-2.05171547331709,6.78147791883115,181.954202119983,1.81447567843284e-41,1.43873726093512e-40
"ANK3",-1.26143085963038,6.52712012344671,105.67364361557,8.69360229731305e-25,3.5159060973851e-24
"ANKAR",1.35470004877678,1.37211775744302,206.684843985064,7.26383076461992e-47,7.23421220334707e-46
"ANKDD1A",1.16405814364244,1.99917814036538,135.142474370905,3.07307008256296e-31,1.62533443947836e-30
"ANKRD13B",1.33280144418465,2.66994559297075,116.323631534288,4.03732740044859e-27,1.81454422139618e-26
"ANKRD19",1.19321144257088,1.59979180355573,92.1431807722571,8.0626766588781e-22,2.86559684018666e-21
"ANKRD1",1.11630861373434,0.362895364575111,17.0454752031586,3.64952324068806e-05,5.6586790262266e-05
"ANKRD23",1.57718940940107,0.617422852309583,164.126524733283,1.41945526631342e-37,9.61730969204353e-37
"ANKRD29",1.24229976120176,3.33305389503634,89.5904247631386,2.92938543179155e-21,1.01831342856422e-20
"ANKRD2",-3.48456624489686,1.77489438108082,164.06726124022,1.4624065012924e-37,9.90381566488885e-37
"ANKRD36",2.24978775797215,3.08324667065233,186.793819445227,1.59294808590987e-42,1.32588455485873e-41
"ANKRD37",1.77448909109123,4.18420301907572,174.033142158651,9.73524371038948e-40,7.15920019946164e-39
"ANKRD39",1.07494432452504,3.07255746767008,212.034866457467,4.94225976359471e-48,5.15288510971291e-47
"ANKRD43",-3.08578361342828,2.00928226254121,212.153854026553,4.65550766462554e-48,4.86071539560308e-47
"ANKRD45",-1.08367534827137,1.05579716400859,49.7338300980739,1.76083421236172e-12,4.09596704605421e-12
"ANKRD53",1.15169023086801,0.407900016434909,51.9592713119748,5.6663869123696e-13,1.35337445667513e-12
"ANKRD56",-1.4176741263545,3.49520874869496,96.1920147497431,1.04264582168199e-22,3.84419205573866e-22
"ANKZF1",1.44712526644676,5.43052857161083,177.593437477724,1.62513599012393e-40,1.23220870823697e-39
"ANLN",2.5257696175891,3.62233813804006,150.474553083588,1.36532102692578e-34,8.23559432395435e-34
"ANO1",1.91518918885415,5.85383220870835,166.57945220823,4.13325105359167e-38,2.85892792235201e-37
"ANO4",4.4604279175942,2.97419761912218,195.730412106333,1.78484603206253e-44,1.60776427035668e-43
"ANO5",-2.056802279597,2.66758867293382,83.2349300459821,7.2858847008247e-20,2.39735857238488e-19
"ANO7",1.14018109904851,1.16578418741303,121.039721520837,3.74556856205138e-28,1.74064959469755e-27
"ANO9",1.33664592384495,3.71906852511531,49.3141076977159,2.18088431120359e-12,5.05177166551964e-12
"ANXA13",2.02353748920581,4.59238706173074,46.3576581046957,9.85216855520769e-12,2.21398882811522e-11
"ANXA1",1.47613966383564,7.62447952968728,163.186832355089,2.27722192622959e-37,1.5303711988676e-36
"ANXA3",-1.92697740885362,3.87678320409628,105.304432170364,1.04741613751088e-24,4.21997107430357e-24
"ANXA4",2.00347807263505,9.55808307543587,339.408095270428,8.58573036021614e-76,2.70441430521903e-74
"ANXA9",-2.4555811680169,3.14264224426397,509.848821618519,6.84079791814434e-113,6.10305677739117e-111
"AOAH",2.40347026869063,4.30293951076294,213.435018932177,2.44607773481462e-48,2.6068749764666e-47
"AOX1",-1.42381966762866,6.63112921235633,62.2558973153788,3.01604407421038e-15,8.05594131618151e-15
"AP1M2",-2.65884636407518,4.3568412024117,361.941095412609,1.06394488457408e-80,3.87572489859885e-79
"AP3S1",1.26220515873308,5.81985328679525,276.536569238038,4.26927585418057e-62,8.1029224141957e-61
"APBA2",1.44309261802229,1.56086863103101,50.2328983662686,1.3653945584135e-12,3.19507044539071e-12
"APBB1IP",2.68704301631113,5.82668423613919,269.33318049938,1.58577040827138e-60,2.83971073471578e-59
"APBB3",1.4475500627428,4.07543335424552,140.459548285349,2.11213800200656e-32,1.1715839200259e-31
"APCDD1L",-1.1798008766824,2.44291497791348,18.4494191385953,1.74474004798252e-05,2.77101396171959e-05
"APEH",-1.43226964094945,6.42027900886899,449.258574987952,1.04585257740196e-99,6.60260913165752e-98
"APLNR",1.34680976010214,6.17645880846264,55.3450049832016,1.01126517732375e-13,2.51155857258652e-13
"APLN",2.44649269801948,6.61585052585104,231.404771702598,2.94434889131369e-52,3.69880726236785e-51
"APOB48R",1.38594278752369,4.25651006495008,122.661588949128,1.65382283347515e-28,7.81239898413009e-28
"APOBEC3A",1.57066854526067,0.303163641607013,74.3679378527047,6.48334709846237e-18,1.96053152871912e-17
"APOBEC3B",1.27095995404398,1.96137368687442,64.3196009802585,1.05788058180916e-15,2.8793136259362e-15
"APOBEC3C",2.04464467525803,4.58429468715184,247.20977348713,1.05377436751557e-55,1.51839306592016e-54
"APOBEC3D",2.1838371825829,2.87236323426294,299.870422960886,3.51561948406191e-67,8.02131924855105e-66
"APOBEC3F",1.44453909287557,3.66407742130986,315.84791439051,1.16234108867493e-70,3.03819647020488e-69
"APOBEC3G",2.45469401712848,4.97784822078308,315.467058415175,1.40700544758808e-70,3.66485562300958e-69
"APOBEC3H",3.75560799277221,0.520735612134624,302.64011616308,8.76167689707425e-68,2.0525192466904e-66
"APOC1",5.2168963439148,6.64683387022492,363.07461998568,6.02701254170615e-81,2.21173546450443e-79
"APOC2",2.22663034939189,3.70909995201681,65.5194865352212,5.75421805991105e-16,1.58498973700527e-15
"APOD",-1.27931590413207,3.62444900539124,54.3115325490661,1.71094738409249e-13,4.19059757941708e-13
"APOL1",2.04837592465551,8.444286672047,105.423743277726,9.86210795616321e-25,3.97875836552601e-24
"APOL2",1.37834875589397,6.62532855066337,124.075628477895,8.10931291859372e-29,3.88241173438714e-28
"APOL6",1.26179539535278,7.00063588357402,181.799791143067,1.96093613747926e-41,1.55156598578351e-40
"APOLD1",2.13723421645175,8.08676303533942,139.548088908536,3.34223787885888e-32,1.84224943237582e-31
"APOM",-1.21549777747068,5.05995120987262,52.6827968408973,3.92009784196545e-13,9.42785112953079e-13
"APOO",-1.02979741831333,3.68451883557249,113.352752430999,1.80607701676348e-26,7.89807498466659e-26
"AQP1",-1.26594083878183,10.0175686118741,87.6973294319131,7.62773108598575e-21,2.60774587999316e-20
"AQP2",-9.20893852047663,8.97529901352952,438.249375075564,2.60286340229365e-97,1.53889134249099e-95
"AQP3",-2.55801509642628,7.42492050533448,511.33016370166,3.25694078342267e-113,2.92320245374785e-111
"AQP4",-1.30348777672416,2.34336956980149,46.7304239100702,8.14545631798432e-12,1.83766132164822e-11
"AQP7",-1.33543430524668,2.91008598997701,65.4500183332593,5.96066822140665e-16,1.64003685744668e-15
"AQP9",2.52990746112157,3.91739903812247,63.2129943664908,1.85520469592102e-15,4.99922133559907e-15
"ARC",-2.29724820866493,2.50640573626556,236.648841117401,2.11557661067552e-53,2.76248693448331e-52
"AREG",1.04648014618294,2.0680560106841,23.1665734220693,1.48557289189938e-06,2.50947284766541e-06
"ARG2",-1.62054268707276,6.02173941837109,91.9078457697423,9.08082770852579e-22,3.21978229484354e-21
"ARGLU1",1.2102975390686,6.39110250559982,82.5693555771948,1.02026641326932e-19,3.33134983372773e-19
"ARHGAP11A",1.81630871085073,2.90852514914021,213.303352629471,2.61332846545375e-48,2.77321800618201e-47
"ARHGAP15",2.08780009955961,3.22378643018818,296.182833741844,2.23573757176918e-66,4.91301682622257e-65
"ARHGAP22",2.74239924448697,3.17669074514532,466.272310490308,2.07466517644744e-103,1.48607867614858e-101
"ARHGAP24",-1.47809700165447,6.48976445072825,406.903434058918,1.73051555700092e-90,8.50922484612431e-89
"ARHGAP25",1.85627012168533,5.06107511357484,393.789966880235,1.23824611150102e-87,5.50705337768765e-86
"ARHGAP26",1.20161656115694,5.81681437900087,190.685172400023,2.25306691632001e-43,1.94037248475444e-42
"ARHGAP30",2.06308095924563,5.17543821499226,230.535712247764,4.55526090242425e-52,5.69369397527005e-51
"ARHGAP33",2.03919057021543,3.7639786091414,162.421372359103,3.34681477513086e-37,2.23706564982839e-36
"ARHGAP42",1.3953663205836,5.18171308703863,190.107843285413,3.01155790232037e-43,2.57130092760293e-42
"ARHGAP8",-1.33252237917818,2.78531096065711,91.7301623654286,9.93391450657242e-22,3.51473265811975e-21
"ARHGAP9",2.77304352686663,3.52447046700813,312.646284546881,5.79104829053656e-70,1.47488595693512e-68
"ARHGDIB",1.81518778676051,8.26948146848186,357.934979018367,7.92939190852089e-80,2.82631602978595e-78
"ARHGEF18",-1.03515991038334,5.73360576530789,553.753022211888,1.92114568505292e-122,2.27167853663519e-120
"ARHGEF6",1.33821610436248,5.65188204848516,268.450348016838,2.46974823882863e-60,4.39626989370463e-59
"ARID5A",1.14301606349273,5.47816263165207,147.331995100051,6.63981501302602e-34,3.90551140462197e-33
"ARL10",1.23046777355577,2.04957549710111,85.4027161021188,2.43386064469445e-20,8.13416100163808e-20
"ARL11",2.33863530872773,1.79240603644647,363.706069418875,4.39146386147307e-81,1.61951534831899e-79
"ARL4A",1.3439497503113,4.41405801291634,197.999717221834,5.70622761720187e-45,5.24796822646239e-44
"ARL4C",1.61733137603499,6.57278940338312,91.2354740902314,1.2755293492044e-21,4.50014486710783e-21
"ARL4D",-2.68916125192978,3.82593638128797,330.622417959187,7.03435492272096e-74,2.05499713712979e-72
"ARNT2",-1.74715796471944,5.67131110107153,181.249903804467,2.58535812638764e-41,2.03697782787147e-40
"ARNTL2",1.25013409352404,1.17997280581558,56.1623436828252,6.67273589857081e-14,1.67312507830371e-13
"ARPM1",-1.43915545026097,1.14176334607098,153.949942379947,2.37502649918419e-35,1.47870956169432e-34
"ARPP21",1.87975659467354,0.248811748480307,17.8863961333018,2.34491317986037e-05,3.68493423338674e-05
"ARRB2",1.3322881090838,5.8986863234734,319.85793818286,1.55541184181512e-71,4.17551009571234e-70
"ARRDC2",1.73387425072027,6.95460308011127,215.943568894943,6.93795306596878e-49,7.56170905119743e-48
"ART5",1.02189410804251,0.462982966292814,11.417425305295,0.000727584546664438,0.00102722279548502
"ARX",4.49211413324418,0.650931858353446,39.2176264889854,3.79102279920036e-10,7.8930196597661e-10
"ASAM",-1.07049771595238,1.63734851639507,13.456325450804,0.000244181526695234,0.00035607913930041
"ASAP1",1.23331968427345,6.14752634468093,256.440538579274,1.02426882198016e-57,1.63916016956846e-56
"ASAP3",-1.29733145793745,4.43128873768913,178.388601850608,1.0895883997351e-40,8.33784158585166e-40
"ASB2",1.50514550124726,1.94522369382676,75.0714967256318,4.53973107705131e-18,1.38204849442149e-17
"ASB9",-1.09086875155012,2.72082572956987,112.443889557512,2.85635220158267e-26,1.23891678169957e-25
"ASF1B",2.22047740973368,2.7064318734672,249.222050935934,3.83743141902984e-56,5.66078125862629e-55
