"","logFC","logCPM","LR","PValue","FDR"
"ESRRG",-3.01694812061937,4.49578304972928,381.769898279481,5.12423340960519e-85,2.12662823313949e-83
"ETNK2",-1.87851335994653,5.55183167871845,236.112922405919,2.76879153969265e-53,3.59653227113171e-52
"ETS1",1.32793139505731,8.37630236009981,159.15181085144,1.73368597793308e-36,1.12110188303928e-35
"ETV4",-1.4609155679876,0.801090538286268,41.4012383826173,1.23978821681397e-10,2.64257577143223e-10
"ETV7",3.05764210585131,3.07887208459469,315.355665657249,1.48785503627677e-70,3.86194288945776e-69
"EVC",-1.21822145238964,6.50001663380111,141.26164034348,1.41036229248808e-32,7.86414213913919e-32
"EVI2A",2.1563935605754,4.43717988168212,227.912479226673,1.70061066244123e-51,2.08024616253792e-50
"EVI2B",2.20981546674893,5.13106146184043,236.607032718718,2.16045579260964e-53,2.81861916410604e-52
"EVL",1.59304808808613,6.11781771852269,278.262373755935,1.79580484663911e-62,3.45234792388079e-61
"EVPL",-1.88301071428889,4.84061845706592,448.178811458596,1.79662883740535e-99,1.12470474993707e-97
"EXO1",2.5205800075467,0.875932824571826,194.966908570592,2.61959210020887e-44,2.34410226432504e-43
"EXOC3L",1.35463305118024,4.39397517164299,141.242766454658,1.42382862180497e-32,7.93625987140752e-32
"EXOSC5",1.14495825919946,4.37754870590582,196.403673899545,1.27252284542021e-44,1.1546478607744e-43
"EYA1",2.33551186014138,0.961768096080215,28.9691747992255,7.35392495975844e-08,1.35283526330956e-07
"EYA2",-1.39335886177977,1.92638408460815,76.2339419321561,2.51973342432919e-18,7.76613742016563e-18
"EYA3",-1.15943087538367,2.84731945518913,160.077588315931,1.08816874859501e-36,7.09524121895712e-36
"EYA4",-3.4654590083919,2.12514517382177,549.173024521244,1.90498313910569e-121,2.20018168911129e-119
"EZH2",2.28238847695211,2.75883723877237,384.359496876934,1.39908568268816e-85,5.93874005309714e-84
"F10",1.30410670182647,3.47917792945063,24.863596652908,6.15334983311032e-07,1.06640408472154e-06
"F11",-4.24514046303182,2.82434259204374,301.231242654049,1.77634315462777e-67,4.10958643801229e-66
"F12",2.90150938492059,2.7963173778454,123.188921347039,1.26783649653378e-28,6.01576304517732e-28
"F2RL2",1.16812107223938,1.45892959097312,30.8872005250386,2.73469442423182e-08,5.15749521856075e-08
"F2RL3",2.33963268064202,4.99831464484154,123.774874331773,9.43649699652949e-29,4.50334300933033e-28
"F2R",1.00699906253975,7.11469978964827,71.4857651652876,2.79265604722476e-17,8.16158933848602e-17
"F2",3.5713149070206,2.4036422930281,29.0440708187698,7.07503086216872e-08,1.30297756261374e-07
"F8",1.13485483856751,6.63614388382332,51.151456577257,8.5507209523758e-13,2.02507060037271e-12
"FA2H",-1.91924676360988,2.09276058570016,75.3249819260241,3.99275646305122e-18,1.22001801769894e-17
"FABP1",-4.37921158884266,3.39577805996245,223.985102168759,1.22226613894477e-50,1.43729622763521e-49
"FABP5",2.35802256488856,2.23041812651875,162.40320001069,3.37754978462421e-37,2.25558557781784e-36
"FABP6",5.92636318838971,4.1276777623337,231.473682623048,2.84420794883631e-52,3.57602145398415e-51
